"2009.01.04 16:00 GMT", AUD, AUD Quarterly Wage Agreements (3Q), Medium,  ,  , 4
"2009.01.04 18:15 GMT", EUR, EUR ECB's Papademos Speaks on Euro in San Francisco, Low,  ,  ,
"2009.01.04 18:15 GMT", USD, USD Fed's Yellen Speaks on Fiscal Policy in San Francisco, Low,  ,  ,
"2009.01.04 20:30 GMT", USD, USD Fed's Dudley Leads Panel Discussion on Lending Programs, Low,  ,  ,
"2009.01.04 21:45 GMT", NZD, NZD NZ Card Spending (MoM) (NOV), Low, -2.30%,  , -0.3% (R+)
"2009.01.04 22:30 GMT", AUD, AUD AiG Performance of Construction Index (DEC), Low,  ,  , 32
"2009.01.04 22:30 GMT", AUD, AUD AiG Performance of Service Index (DEC), Low,  ,  , 37.8
"2009.01.04 22:30 GMT", USD, USD Fed's Yellen Speaks on Monetary Policy in San Francisco, Low,  ,  ,
"2009.01.05 00:00 GMT", USD, USD Domestic Vehicle Sales (DEC), Low,  , 7.5M, 7.6M
"2009.01.05 00:00 GMT", USD, USD Total Vehicle Sales (DEC), Low,  , 10.0M, 10.2M
"2009.01.05 04:00 GMT", AUD, AUD HIA New Home Sales (MoM) (NOV), Medium,  ,  , -6.00%
"2009.01.05 05:00 GMT", JPY, JPY Vehicle Sales (YoY) (DEC), Low, -22.30%,  , -27.30%
"2009.01.05 08:30 GMT", CHF, CHF SVME-Purchasing Managers Index (DEC), Medium, 36.9, 35, 35.2
"2009.01.05 09:30 GMT", GBP, GBP Purchasing Manager Index Construction (DEC), Low, 29.3, 30.5, 31.8
"2009.01.05 09:30 GMT", EUR, EUR Euro-Zone Sentix Investor Confidence (JAN), High, -34.4,  , -42.3
"2009.01.05 10:00 GMT", EUR, EUR Italian Consumer Price Index (NIC incl. tobacco) (MoM) (DEC P), Low, -0.10%, -0.20%, -0.40%
"2009.01.05 10:00 GMT", EUR, EUR Italian Consumer Price Index (NIC incl. tobacco) (YoY) (DEC P), Low, 2.20%, 2.30%, 2.70%
"2009.01.05 10:00 GMT", EUR, EUR Italian Consumer Price Index - EU Harmonized (YoY) (DEC P), Low, 2.30%, 2.40%, 2.70%
"2009.01.05 10:00 GMT", EUR, EUR Italian Consumer Price Index - EU Harmonized (MoM) (DEC P), Low, -0.20%, -0.10%, -0.50%
"2009.01.05 15:00 GMT", USD, USD Construction Spending (MoM) (NOV), Low, -0.60%, -1.40%, -0.4% (R+)
"2009.01.05 18:15 GMT", USD, USD Fed's Yellen Leads Panel Discussion on Subprime-Loan Crisis, Low,  ,  ,
"2009.01.05 22:30 GMT", USD, USD Domestic Vehicle Sales (DEC), Low,  , 7.5M, 7.6M
"2009.01.05 22:30 GMT", USD, USD RPX Composite 28 Day (YoY) (OCT), Low,  ,  , -18.90%
"2009.01.05 22:30 GMT", USD, USD Total Vehicle Sales (DEC), Low,  , 10.0M, 10.2M
"2009.01.05 22:30 GMT", USD, USD RPX Composite 28 Day Index (OCT), Low,  ,  , 212.54
"2009.01.05 22:30 GMT", AUD, AUD AiG Performance of Service Index (DEC), Low, 39.3,  , 37.8
"2009.01.05 23:50 GMT", JPY, JPY Monetary Base (YoY) (DEC), Low, 1.80%,  , 1.90%
"2009.01.05 23:50 GMT", JPY, JPY Loans & Discounts Corp (YoY) (NOV), Low, 3.20%,  , 2.30%
"2009.01.06 00:01 GMT", GBP, GBP Nationwide Consumer Confidence (DEC), Medium, 47,  , 51 (R+)
"2009.01.06 00:30 GMT", USD, USD Total Vehicle Sales (DEC), Low, 10.3M, 10.0M, 10.2M
"2009.01.06 00:30 GMT", USD, USD Domestic Vehicle Sales (DEC), Low, 7.8M, 7.5M, 7.6M
"2009.01.06 07:00 GMT", GBP, GBP Nationwide House Prices s.a. (MoM) (NOV), Low, -2.50%, -1.50%, -0.40%
"2009.01.06 07:00 GMT", GBP, GBP Nationwide House Prices n.s.a. (YoY) (DEC), Low, -15.90%, -14.60%, -13.90%
"2009.01.06 07:45 GMT", EUR, EUR Italian Purchasing Manager Index Services (DEC), Low, 40.3, 39.1, 39.5
"2009.01.06 07:45 GMT", EUR, EUR French Consumer Confidence Indicator (DEC), Low, -44, -44, -43
"2009.01.06 08:50 GMT", EUR, EUR French Purchasing Manager Index Services (DEC F), Low, 40.6, 41.6, 41.6
"2009.01.06 08:55 GMT", EUR, EUR German Purchasing Manager Index Services (DEC F), Medium, 46.6, 46.4, 46.4
"2009.01.06 09:00 GMT", EUR, EUR Euro-Zone Purchasing Manager Index Services (DEC F), Medium, 42.1, 42, 42
"2009.01.06 09:00 GMT", EUR, EUR Euro-Zone Purchasing Manager Index Composite (DEC F), Medium, 38.2, 38.3, 38.3
"2009.01.06 09:30 GMT", GBP, GBP Official Reserves (Changes) (DEC), Low, $1.534B,  , $2.249B
"2009.01.06 09:30 GMT", GBP, GBP Purchasing Manager Index Services (DEC), Medium, 40.2, 39, 40.1
"2009.01.06 10:00 GMT", EUR, EUR Euro-Zone Consumer Price Index Estimate (YoY) (DEC), High, 1.60%, 1.80%, 2.10%
"2009.01.06 13:30 GMT", CAD, CAD Raw Materials Price Index (MoM) (NOV), Low, -13.40%, -8.80%, -12.9%(R-)
"2009.01.06 13:30 GMT", CAD, CAD Industrial Product Price (MoM) (NOV), Low, -2.60%, -1.00%, -0.1%(R-)
"2009.01.06 15:00 GMT", USD, USD Pending Home Sales (MoM) (NOV), Medium, -4.00%, -1.00%, -4.2% (R-)
"2009.01.06 15:00 GMT", USD, USD Factory Orders (NOV), Low, -4.60%, -2.30%, -6.0% (R-)
"2009.01.06 15:00 GMT", USD, USD ISM Non-Manufacturing Composite (DEC), Medium, 40.6, 36.5, 37.3
"2009.01.06 19:00 GMT", USD, USD Federal Open Market Committee Meeting Minutes, High,  ,  ,
"2009.01.06 21:45 GMT", NZD, NZD Balance (YTD) (New Zealand dollars) (NOV), Medium, -5164, -5485, -5272 (R-)
"2009.01.06 21:45 GMT", NZD, NZD Trade Balance (New Zealand dollars) (NOV), Medium, -520.0M, -775.0M, -996.0M (R-)
"2009.01.06 21:45 GMT", NZD, NZD Exports (New Zealand dollars) (NOV), Low, 3.69B, 3.71B, 3.83B
"2009.01.06 21:45 GMT", NZD, NZD Imports (New Zealand dollars) (NOV), Low, 4.21B, 4.54B, 4.82B (R+)
"2009.01.06 22:00 GMT", USD, USD ABC Consumer Confidence (JAN 4), Low, -49,  , -49
"2009.01.07 00:30 GMT", AUD, AUD Retail Sales Trend (MoM) (NOV), High, 0.10%, 0.10%, 0.20%
"2009.01.07 00:30 GMT", AUD, AUD Retail Sales s.a. (MoM) (NOV), High, 0.40%, -0.40%, 1.0% (R+)
"2009.01.07 01:00 GMT", AUD, AUD HIA New Home Sales (MoM) (NOV), Low, -1.10%,  , 4.50%
"2009.01.07 02:00 GMT", NZD, NZD ANZ Commodity Price (NOV), High, -7.40%,  , -7.4% (R-)
"2009.01.07 07:00 GMT", EUR, EUR German ILO Unemployment Rate (NOV), Low, 7.10%, 7.10%, 7.10%
"2009.01.07 08:55 GMT", EUR, EUR German Unemployment Change (DEC), Medium, 18K, 10K, -4K (R+)
"2009.01.07 08:55 GMT", EUR, EUR German Unemployment Rate s.a. (DEC), Low, 7.60%, 7.50%, 7.6% (R+)
"2009.01.07 10:00 GMT", EUR, EUR Euro-Zone Producer Price Index (MoM) (NOV), Medium, -1.90%, -1.00%, -0.80%
"2009.01.07 10:00 GMT", EUR, EUR Euro-Zone Producer Price Index (YoY) (NOV), Medium, 3.30%, 4.40%, 6.30%
"2009.01.07 10:30 GMT", GBP, GBP BRC Shop Price Index (YoY) (DEC), Low, 0.50%,  , 2.70%
"2009.01.07 12:00 GMT", USD, USD MBA Mortgage Applications (JAN 2), Low, -8.20%,  , 0.00%
"2009.01.07 12:30 GMT", USD, USD Challenger Job Cuts (YoY) (DEC), Medium, 274.50%,  , 148.40%
"2009.01.07 13:15 GMT", USD, USD ADP Employment Change (DEC), Medium, -693K, -493K, -472K (R-)
"2009.01.07 18:00 GMT", USD, USD Fed's Hoenig Speaks in Kansas City on U.S. Economic Outlook, Low,  ,  ,
"2009.01.07 22:30 GMT", AUD, AUD AiG Performance of Construction Index (DEC), Low, 30.9,  , 32
"2009.01.07 23:50 GMT", JPY, JPY Japan Buying Foreign Stocks (Yen) (DEC 26), Low, 270.8B,  , 241.1B
"2009.01.07 23:50 GMT", JPY, JPY Foreign Buying Japan Stocks (Yen) (DEC 26), Low, -128.9B,  , -162.7B (R-)
"2009.01.07 23:50 GMT", JPY, JPY Japan Buying Foreign Bonds (Yen) (DEC 26), Low, 111.0B,  , 602.8B (R+)
"2009.01.07 23:50 GMT", JPY, JPY Foreign Buying Japan Bonds (Yen) (DEC 26), Low, -576.1B,  , -168.3B
"2009.01.08 00:30 GMT", AUD, AUD Building Approvals (MoM) (NOV), Low, -12.80%, -1.50%, -3.1% (R+)
"2009.01.08 00:30 GMT", AUD, AUD Trade Balance (Australian dollar) (NOV), Medium, 1.448B, 2.100B, 2.960B
"2009.01.08 00:30 GMT", AUD, AUD Building Approvals (YoY) (NOV), Low, -34.70%, -27.40%, -23.6% (R+)
"2009.01.08 05:30 GMT", AUD, AUD Foreign Reserves (Australian dollar) (DEC), Low, 47.5B,  , 46.7B
"2009.01.08 06:45 GMT", CHF, CHF Unemployment Rate s.a. (DEC), Medium, 2.80%, 2.80%, 2.70%
"2009.01.08 06:45 GMT", CHF, CHF Unemployment Rate (DEC), Medium, 3.00%, 2.90%, 2.70%
"2009.01.08 07:00 GMT", EUR, EUR German Exports s.a. (MoM) (NOV), Low, -10.60%, -3.10%, -0.6% (R-)
"2009.01.08 07:00 GMT", EUR, EUR German Imports s.a. (MoM) (NOV), Low, -5.60%,  , -3.7% (R-)
"2009.01.08 07:00 GMT", EUR, EUR German Current Account (euros) (NOV), Medium, 8.6B,  , 14.3B (R-)
"2009.01.08 07:00 GMT", EUR, EUR German Trade Balance (euros) (NOV), Medium, 9.7B, 16.4B, 16.4B
"2009.01.08 08:15 GMT", CHF, CHF Consumer Price Index (MoM) (DEC), High, -0.50%, -0.50%, -0.70%
"2009.01.08 08:15 GMT", CHF, CHF Consumer Price Index (YoY) (DEC), High, 0.70%, 0.90%, 1.50%
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Economic Confidence (DEC), Low, 67.1, 71.8, 74.9
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Services Confidence (DEC), Low, -17, -14, -12
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Government Expenditure (QoQ) (3Q F), Low, 0.70%, 0.80%, 0.80%
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Gross Fixed Capital (QoQ) (3Q F), Low, -0.60%, -0.60%, -0.60%
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Unemployment Rate (NOV), Medium, 7.80%, 7.80%, 7.70%
"2009.01.08 10:00 GMT", EUR, EUR Euro-Zone Industrial Confidence (DEC), Low, -33, -30, -25
